,Vehicle_Title,Rating
0,2007 Volkswagen New Beetle Convertible 2.5 2dr Convertible (2.5L 5cyl 6A),4.5
1,2007 Volkswagen New Beetle Convertible 2.5 PZEV 2dr Convertible (2.5L 5cyl 6A),4.375
2,2007 Volkswagen New Beetle Convertible Triple White PZEV 2dr Convertible (2.5L 5cyl 6A),4.375
3,2007 Volkswagen New Beetle Convertible 2.5 2dr Convertible (2.5L 5cyl 5M),4.375
4,2007 Volkswagen New Beetle Convertible 2.5 2dr Convertible (2.5L 5cyl 5M),4.75
5,2007 Volkswagen New Beetle Convertible Triple White PZEV 2dr Convertible (2.5L 5cyl 6A),5
6,2007 Volkswagen New Beetle Convertible 2.5 2dr Convertible (2.5L 5cyl 6A),2.75
7,2007 Volkswagen New Beetle Convertible Triple White 2dr Convertible (2.5L 5cyl 6A),3.75
8,2007 Volkswagen New Beetle Convertible 2.5 2dr Convertible (2.5L 5cyl 6A),5
9,2007 Volkswagen New Beetle Convertible Triple White PZEV 2dr Convertible (2.5L 5cyl 6A),5
10,2007 Volkswagen New Beetle Convertible 2.5 2dr Convertible (2.5L 5cyl 6A),5
11,2007 Volkswagen New Beetle Convertible 2.5 2dr Convertible (2.5L 5cyl 5M),4.375
12,2007 Volkswagen New Beetle Convertible 2.5 PZEV 2dr Convertible (2.5L 5cyl 6A),5
13,2007 Volkswagen New Beetle Convertible 2.5 2dr Convertible (2.5L 5cyl 5M),4.875
14,2007 Volkswagen New Beetle Convertible 2.5 2dr Convertible (2.5L 5cyl 6A),3
15,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),5
16,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 5M),4
17,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 5M),3.125
18,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),4.875
19,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),4.625
20,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),3.25
21,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 5M),4.875
22,2007 Volkswagen New Beetle Hatchback 2.5 PZEV 2dr Hatchback (2.5L 5cyl 6A),4.5
23,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),5
24,2007 Volkswagen New Beetle Hatchback 2.5 PZEV 2dr Hatchback (2.5L 5cyl 5M),4.625
25,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),4.625
26,2007 Volkswagen New Beetle Hatchback 2.5 PZEV 2dr Hatchback (2.5L 5cyl 6A),4.75
27,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 5M),4.875
28,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),4.625
29,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),2.875
30,2007 Volkswagen New Beetle Hatchback 2.5 PZEV 2dr Hatchback (2.5L 5cyl 5M),5
31,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 5M),3.5
32,2007 Volkswagen New Beetle Hatchback 2.5 PZEV 2dr Hatchback (2.5L 5cyl 6A),5
33,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),4.875
34,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),5
35,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),4.75
36,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 5M),5
